##C:\ROMS\N64
0x1FBAF161,0x2C1C54F1,0x41,0x01000000,0x11,1080 SNOWBOARDING,C:\ROMS\N64\1080 Snowboarding (JU) [!].v64
0x82DC04FD,0xCF2D82F4,0x45,0x00c00000,0x0c,A Bug's Life,C:\ROMS\N64\A Bug's Life (U) [a1][!].v64
0x1B598BF1,0xECA29B45,0x45,0x00800000,0x14,AERO FIGHTERS ASSAUL,C:\ROMS\N64\Aero Fighters Assault (U) [!].v64
0xAEBE463E,0xCC71464B,0x45,0x00800000,0x09,AEROGAUGE,C:\ROMS\N64\AeroGauge (U) [!].V64
0x27C425D0,0x8C2D99C1,0x50,0x00800000,0x0e,AIR BOARDER 64,C:\ROMS\N64\Airboarder 64 (E) [!].v64
0xE185E291,0x4E50766D,0x45,0x00800000,0x13,ALL STAR TENNIS '99,C:\ROMS\N64\All Star Tennis '99 (U) [!].v64
0x5E547A4D,0x90E60795,0x45,0x01000000,0x14,All-Star Baseball '0,C:\ROMS\N64\All-Star Baseball 2000 (U) [!].v64
0xC43E23A7,0x40B1681A,0x45,0x00c00000,0x14,All Star Baseball 99,C:\ROMS\N64\All-Star Baseball 99 (U) [!].v64
0x1FB5D932,0x3BA9481B,0x45,0x01000000,0x14,Armorines Project S.,C:\ROMS\N64\Armorines - Project S.W.A.R.M. (U) [!].v64
0x4C52BBB2,0xCEAB0F6B,0x45,0x00800000,0x10,ARMYMENAIRCOMBAT,C:\ROMS\N64\Army Men - Air Combat (U) [!].v64
0xB210DF19,0x98B58D1A,0x50,0x00800000,0x0e,Army Men Sarge,C:\ROMS\N64\Army Men - Sarge's Heroes (E) (M3) [!].v64
0xB210DF19,0x98B58D1A,0x50,0x00800000,0x0e,Army Men Sarge,C:\ROMS\N64\Army Men - Sarge's Heroes (E) [!].v64
0xD1F7D8AB,0x293B0446,0x45,0x00800000,0x12,Asteroids Hyper 64,C:\ROMS\N64\Asteroids Hyper 64 (U) [!].rom
0xC9176D39,0xEA4779D1,0x50,0x02000000,0x0b,BANJO TOOIE,C:\ROMS\N64\Banjo-Tooie (E) [!].rom
0xEDF419A8,0xBF1904CC,0x45,0x01000000,0x14,Beetle Adventure Rac,C:\ROMS\N64\Beetle Adventure Racing! (U) (M3) [!].v64
0xEDF419A8,0xBF1904CC,0x45,0x01000000,0x14,Beetle Adventure Rac,C:\ROMS\N64\Beetle Adventure Racing! (U) [!].v64
0x1CC06338,0x87388926,0x45,0x01000000,0x0c,CASTLEVANIA2,C:\ROMS\N64\Castlevania - Legacy of Darkness (U) [!].v64
0x1CC06338,0x87388926,0x45,0x01000000,0x0c,CASTLEVANIA2,C:\ROMS\N64\Castlevania - Legacy of Darkness (U) [!]1.v64
0xFF2F2FB4,0xD161149A,0x45,0x00800000,0x0b,Cruis'n USA,C:\ROMS\N64\Cruis'n USA (U) (V1.0) [!].v64
